Name,Description,Size,Host Key
CM1,CoM Building,120,5520-4
CM1,CoM Building,120,8495-1
CM1,CoM Building,120,5521-4
CM1,CoM Building,120,5521-3
CM1,CoM Building,120,5521-1
CM1,CoM Building,120,9336-1
CLM102,CLM Building,130,5522-1
CLM102,CLM Building,130,5522-2
OGS1,Old Grand Stand Building,120,5523-4
OGS1,Old Grand Stand Building,120,5523-1
OGS1,Old Grand Stand Building,120,5523-3
CM1,CoM Building,120,5524-1
OGS4,Old Grand Stand Building,120,5525-4
FNB35,First National Bank Building,120,5525-1
FNB36,First National Bank Building,120,5525-3
FNB35,First National Bank Building,120,5526-1
CM1,CoM Building,120,5527-4
